,Tweet_id,Retweet_id,text,misinformation,Retweet_time,Tweet_count,Tweet_count_by_id,Hourly
37,544268732046913536,544268792164253697,#BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.,0,2014-12-14 23:12:46+00:00,0,0,23
36,544268732046913536,544268817036103680,#BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.,0,2014-12-14 23:12:52+00:00,1,1,23
14,544268732046913536,544268834899636224,#BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.,0,2014-12-14 23:12:56+00:00,2,2,23
0,544268732046913536,544268866533089281,#BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.,0,2014-12-14 23:13:04+00:00,3,3,23
50,544268732046913536,544268924460613632,#BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.,0,2014-12-14 23:13:18+00:00,4,4,23
51,544268732046913536,544269023853023232,#BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.,0,2014-12-14 23:13:41+00:00,5,5,23
52,544268732046913536,544269030933405696,#BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.,0,2014-12-14 23:13:43+00:00,6,6,23
61,544268732046913536,544269047316369409,#BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.,0,2014-12-14 23:13:47+00:00,7,7,23
55,544268732046913536,544269094099238912,#BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.,0,2014-12-14 23:13:58+00:00,8,8,23
15,544268732046913536,544269203016916992,#BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.,0,2014-12-14 23:14:24+00:00,9,9,23
41,544268732046913536,544269240958603264,#BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.,0,2014-12-14 23:14:33+00:00,10,10,23
64,544268732046913536,544269363797184513,#BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.,0,2014-12-14 23:15:03+00:00,11,11,23
16,544268732046913536,544269465097994240,#BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.,0,2014-12-14 23:15:27+00:00,12,12,23
5,544268732046913536,544269466972872704,#BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.,0,2014-12-14 23:15:27+00:00,13,13,23
38,544268732046913536,544269489504653313,#BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.,0,2014-12-14 23:15:32+00:00,14,14,23
53,544268732046913536,544269588498632704,#BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.,0,2014-12-14 23:15:56+00:00,15,15,23
1,544268732046913536,544269621931438081,#BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.,0,2014-12-14 23:16:04+00:00,16,16,23
2,544268732046913536,544269633348325376,#BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.,0,2014-12-14 23:16:07+00:00,17,17,23
17,544268732046913536,544269725359165441,#BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.,0,2014-12-14 23:16:29+00:00,18,18,23
54,544268732046913536,544269739908804608,#BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.,0,2014-12-14 23:16:32+00:00,19,19,23
131,544269749405097984,544269802680758274,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3,0,2014-12-14 23:16:47+00:00,20,0,23
130,544269749405097984,544269887451852800,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3,0,2014-12-14 23:17:07+00:00,21,1,23
79,544269749405097984,544269890513686528,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3,0,2014-12-14 23:17:08+00:00,22,2,23
78,544269749405097984,544269904925302785,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3,0,2014-12-14 23:17:12+00:00,23,3,23
108,544269749405097984,544269919995457538,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3,0,2014-12-14 23:17:15+00:00,24,4,23
160,544269749405097984,544269928891555840,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3,0,2014-12-14 23:17:17+00:00,25,5,23
80,544269749405097984,544269932184502272,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3,0,2014-12-14 23:17:18+00:00,26,6,23
161,544269749405097984,544269962844442624,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3,0,2014-12-14 23:17:25+00:00,27,7,23
110,544269749405097984,544269966007336960,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3,0,2014-12-14 23:17:26+00:00,28,8,23
18,544268732046913536,544269974286520320,#BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.,0,2014-12-14 23:17:28+00:00,29,20,23
109,544269749405097984,544269990560415744,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3,0,2014-12-14 23:17:32+00:00,30,9,23
111,544269749405097984,544270049708498944,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3,0,2014-12-14 23:17:46+00:00,31,10,23
162,544269749405097984,544270067932745728,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3,0,2014-12-14 23:17:50+00:00,32,11,23
132,544269749405097984,544270104888754176,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3,0,2014-12-14 23:17:59+00:00,33,12,23
81,544269749405097984,544270103093575680,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3,0,2014-12-14 23:17:59+00:00,34,13,23
39,544268732046913536,544270110152605696,#BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.,0,2014-12-14 23:18:00+00:00,35,21,23
133,544269749405097984,544270116439863296,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3,0,2014-12-14 23:18:02+00:00,36,14,23
163,544269749405097984,544270127387000832,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3,0,2014-12-14 23:18:05+00:00,37,15,23
134,544269749405097984,544270136325062656,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3,0,2014-12-14 23:18:07+00:00,38,16,23
135,544269749405097984,544270156134760449,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3,0,2014-12-14 23:18:11+00:00,39,17,23
82,544269749405097984,544270184156901376,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3,0,2014-12-14 23:18:18+00:00,40,18,23
112,544269749405097984,544270206164406272,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3,0,2014-12-14 23:18:23+00:00,41,19,23
113,544269749405097984,544270251743920128,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3,0,2014-12-14 23:18:34+00:00,42,20,23
92,544269749405097984,544270295444369409,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3,0,2014-12-14 23:18:45+00:00,43,21,23
137,544269749405097984,544270322510217216,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3,0,2014-12-14 23:18:51+00:00,44,22,23
116,544269749405097984,544270340998721536,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3,0,2014-12-14 23:18:56+00:00,45,23,23
83,544269749405097984,544270376079876096,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3,0,2014-12-14 23:19:04+00:00,46,24,23
19,544268732046913536,544270400385867776,#BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.,0,2014-12-14 23:19:10+00:00,47,22,23
139,544269749405097984,544270400637530112,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3,0,2014-12-14 23:19:10+00:00,48,25,23
117,544269749405097984,544270451514425344,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3,0,2014-12-14 23:19:22+00:00,49,26,23
164,544269749405097984,544270458732822529,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3,0,2014-12-14 23:19:24+00:00,50,27,23
145,544269749405097984,544270473605820416,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3,0,2014-12-14 23:19:27+00:00,51,28,23
84,544269749405097984,544270472553037824,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3,0,2014-12-14 23:19:27+00:00,52,29,23
136,544269749405097984,544270471282163712,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3,0,2014-12-14 23:19:27+00:00,53,30,23
56,544268732046913536,544270484645642240,#BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.,0,2014-12-14 23:19:30+00:00,54,23,23
165,544269749405097984,544270489003110400,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3,0,2014-12-14 23:19:31+00:00,55,31,23
86,544269749405097984,544270495625912320,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3,0,2014-12-14 23:19:32+00:00,56,32,23
3,544268732046913536,544270519978041345,#BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.,0,2014-12-14 23:19:38+00:00,57,24,23
138,544269749405097984,544270528794468352,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3,0,2014-12-14 23:19:40+00:00,58,33,23
